Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2018-04-13 00:00:00+00:00,480.25,481.25,469.5,474.0,8.5,472.5,62655.0,115853.0
2018-04-16 00:00:00+00:00,466.5,470.25,461.5,463.0,10.25,462.25,78525.0,111245.0
2018-04-17 00:00:00+00:00,463.75,470.75,461.5,466.25,4.0,466.25,53491.0,96485.0
2018-04-18 00:00:00+00:00,466.25,476.0,465.5,475.25,9.0,475.25,44607.0,85615.0
2018-04-19 00:00:00+00:00,477.5,480.0,471.75,476.75,1.5,476.75,40016.0,73086.0
2018-04-20 00:00:00+00:00,476.25,476.75,462.25,463.5,13.5,463.25,44719.0,63578.0
2018-04-23 00:00:00+00:00,464.25,469.0,458.75,462.0,1.75,461.5,55137.0,47916.0
2018-04-24 00:00:00+00:00,461.25,473.0,455.5,472.5,11.0,472.5,26778.0,36473.0
2018-04-25 00:00:00+00:00,473.0,488.5,472.25,485.25,13.75,486.25,26392.0,28041.0
2018-04-26 00:00:00+00:00,485.25,491.5,476.5,480.5,5.5,480.75,21895.0,18572.0
2018-04-27 00:00:00+00:00,484.0,495.75,480.25,495.0,14.75,495.5,15287.0,11220.0
2018-04-30 00:00:00+00:00,500.0,515.5,499.75,515.5,17.0,512.5,2350.0,2513.0
2018-05-01 00:00:00+00:00,511.25,529.75,510.25,526.5,17.25,529.75,549.0,908.0
2018-05-02 00:00:00+00:00,525.0,533.25,522.5,522.75,4.0,525.75,170.0,559.0
2018-05-03 00:00:00+00:00,525.75,540.0,521.5,540.0,14.75,540.5,186.0,397.0
2018-05-04 00:00:00+00:00,537.0,537.0,529.5,529.5,13.0,527.5,115.0,253.0
2018-05-07 00:00:00+00:00,515.0,515.0,515.0,515.0,13.5,514.0,72.0,151.0
2018-05-08 00:00:00+00:00,515.5,516.5,515.5,516.5,3.75,517.75,7.0,84.0
2018-05-09 00:00:00+00:00,508.0,511.0,508.0,511.0,3.25,514.5,30.0,78.0
2018-05-10 00:00:00+00:00,515.75,515.75,515.75,515.75,6.75,507.75,56.0,54.0
2018-05-11 00:00:00+00:00,507.75,515.75,497.0,497.0,18.25,489.5,25.0,49.0
2018-05-14 00:00:00+00:00,479.25,479.25,479.25,479.25,9.0,480.5,15.0,11.0
2018-05-15 00:00:00+00:00,490.5,496.25,486.25,494.25,2.25,493.5,69658.0,236899.0
2018-05-16 00:00:00+00:00,493.75,498.75,491.0,496.0,0.75,494.25,54372.0,234758.0
2018-05-17 00:00:00+00:00,496.0,505.0,495.0,493.0,3.25,497.5,66273.0,231560.0
2018-05-18 00:00:00+00:00,497.5,518.75,495.25,517.5,20.75,518.25,95019.0,229744.0
2018-05-21 00:00:00+00:00,523.0,525.5,504.25,507.0,11.0,507.25,99180.0,233238.0
2018-05-22 00:00:00+00:00,505.5,530.25,502.75,520.5,14.25,521.5,117819.0,237960.0
2018-05-23 00:00:00+00:00,520.75,531.75,517.25,531.0,9.5,531.0,87972.0,242158.0
2018-05-24 00:00:00+00:00,531.0,545.25,529.25,529.0,0.75,530.25,133515.0,241387.0
2018-05-25 00:00:00+00:00,530.0,544.75,528.25,543.0,12.75,543.0,82322.0,241422.0
2018-05-29 00:00:00+00:00,547.5,554.0,531.5,536.5,6.5,536.5,132759.0,245892.0
