Ticker_Symbol,RF_1_Sign_Accuracy,RF_2_Sign_Accuracy,RF_3_Sign_Accuracy,RF_4_Sign_Accuracy,RF_5_Sign_Accuracy,GBT_1_Sign_Accuracy,GBT_2_Sign_Accuracy,GBT_3_Sign_Accuracy,GBT_4_Sign_Accuracy,GBT_5_Sign_Accuracy,GRNN_1_Sign_Accuracy,GRNN_2_Sign_Accuracy,GRNN_3_Sign_Accuracy,GRNN_4_Sign_Accuracy,GRNN_5_Sign_Accuracy,CNN_1_Sign_Accuracy,CNN_2_Sign_Accuracy,CNN_3_Sign_Accuracy,CNN_4_Sign_Accuracy,CNN_5_Sign_Accuracy,LSTM_1_Sign_Accuracy,LSTM_2_Sign_Accuracy,LSTM_3_Sign_Accuracy,LSTM_4_Sign_Accuracy,LSTM_5_Sign_Accuracy,CNN_LSTM_1_Sign_Accuracy,CNN_LSTM_2_Sign_Accuracy,CNN_LSTM_3_Sign_Accuracy,CNN_LSTM_4_Sign_Accuracy,CNN_LSTM_5_Sign_Accuracy,Transformer_1_Sign_Accuracy,Transformer_2_Sign_Accuracy,Transformer_3_Sign_Accuracy,Transformer_4_Sign_Accuracy,Transformer_5_Sign_Accuracy,RF_1_Profit_Loss,RF_2_Profit_Loss,RF_3_Profit_Loss,RF_4_Profit_Loss,RF_5_Profit_Loss,GBT_1_Profit_Loss,GBT_2_Profit_Loss,GBT_3_Profit_Loss,GBT_4_Profit_Loss,GBT_5_Profit_Loss,GRNN_1_Profit_Loss,GRNN_2_Profit_Loss,GRNN_3_Profit_Loss,GRNN_4_Profit_Loss,GRNN_5_Profit_Loss,CNN_1_Profit_Loss,CNN_2_Profit_Loss,CNN_3_Profit_Loss,CNN_4_Profit_Loss,CNN_5_Profit_Loss,LSTM_1_Profit_Loss,LSTM_2_Profit_Loss,LSTM_3_Profit_Loss,LSTM_4_Profit_Loss,LSTM_5_Profit_Loss,CNN_LSTM_1_Profit_Loss,CNN_LSTM_2_Profit_Loss,CNN_LSTM_3_Profit_Loss,CNN_LSTM_4_Profit_Loss,CNN_LSTM_5_Profit_Loss,Transformer_1_Profit_Loss,Transformer_2_Profit_Loss,Transformer_3_Profit_Loss,Transformer_4_Profit_Loss,Transformer_5_Profit_Loss
Corn,56.622516556291394,65.06622516556291,69.70198675496688,61.75496688741722,60.76158940397352,65.06622516556291,71.19205298013244,77.31788079470199,72.84768211920529,61.58940397350994,44.5364238410596,46.85430463576159,48.50993377483444,53.31125827814569,46.52317880794702,47.682119205298015,52.31788079470199,47.01986754966888,50.66225165562914,50.331125827814574,58.443708609271525,57.11920529801324,54.80132450331126,56.29139072847682,51.98675496688742,47.51655629139073,47.847682119205295,50.99337748344372,48.84105960264901,50.16556291390728,,,,,,642.75,900.75,1049.75,790.75,749.75,923.75,1131.75,1341.75,1183.75,777.25,-295.75,-236.25,-22.25,331.25,-218.75,-1.25,148.75,-139.75,209.75,27.25,474.25,437.25,384.75,323.25,298.75,-71.25,18.25,133.25,125.75,95.75,,,,,
Cotton,68.36734693877551,49.48979591836735,51.70068027210885,63.26530612244898,59.18367346938776,78.91156462585033,69.04761904761905,70.23809523809523,67.51700680272108,75.51020408163265,48.80952380952381,53.2312925170068,46.93877551020408,50.51020408163265,49.31972789115646,50.34013605442177,49.14965986394558,47.95918367346938,55.95238095238096,52.55102040816326,53.40136054421769,54.761904761904766,50.34013605442177,54.25170068027211,55.61224489795919,50.34013605442177,50.34013605442177,49.14965986394558,50.34013605442177,50.34013605442177,,,,,,222.29000854492188,31.450000762939453,63.83000564575195,190.19000244140625,145.97000122070312,279.6099853515625,236.9100036621093,246.59002685546875,221.57000732421875,258.7899780273437,-10.95000457763672,28.089996337890625,-15.509994506835938,2.7699990272521973,6.489998817443848,33.290000915527344,12.570001602172852,-7.149999618530273,111.7300033569336,15.829997062683104,31.369997024536133,62.43000030517578,-7.330001831054687,45.209999084472656,44.40999984741211,6.130002021789551,-7.330001831054687,10.230002403259276,-7.330001831054687,-7.330001831054687,,,,,
EGP=X,48.42805320435309,49.15356711003628,47.52116082224909,48.12575574365175,47.460701330108826,54.83675937122128,53.68802902055623,53.3857315598549,55.07859733978234,59.00846432889964,50.7255139056832,50.96735187424426,50.42321644498187,51.027811366384526,49.395405078597335,49.274486094316806,49.51632406287787,47.15840386940749,51.63240628778718,51.81378476420798,49.274486094316806,50.06045949214026,47.037484885126965,47.15840386940749,51.14873035066505,47.15840386940749,49.4558645707376,49.69770253929868,47.64207980652962,51.93470374848851,,,,,,20.7633056640625,24.443504333496094,15.310301780700684,20.670307159423828,13.82730197906494,34.81652069091797,28.980857849121094,28.30852127075196,31.963329315185547,38.11392593383789,-10.130698204040527,9.021413803100586,9.50593376159668,0.744715690612793,-6.6478681564331055,10.30799961090088,10.133097648620604,8.035300254821777,2.5352983474731445,16.63970184326172,15.498164176940918,7.766404151916504,8.01805591583252,8.035300254821777,12.788338661193848,8.035300254821777,10.665114402770996,10.084110260009766,8.466435432434082,15.137898445129396,,,,,
EUR=X,65.2701882210079,58.1056466302368,59.86642380085003,60.53430479659988,59.38069216757741,62.5986642380085,69.39890710382514,62.23436551305404,69.03460837887067,66.36308439587128,48.75531268973892,53.73406193078324,48.451730418943534,48.51244687310261,47.96599878567092,49.72677595628415,49.42319368548877,50.09107468123861,49.84820886460231,48.57316332726169,50.151791135397694,50.698239222829386,49.241044323011536,51.00182149362477,50.63752276867031,50.33394049787493,50.03035822707954,49.84820886460231,49.78749241044323,49.78749241044323,,,,,,2.710914134979248,1.6464600563049316,1.961122274398804,2.1457197666168213,1.8397433757781985,2.194541931152344,3.146498918533325,2.2911159992218018,3.151064157485962,2.768519639968872,0.0520299077033996,0.5983691811561584,-0.3026298880577087,0.0668697953224182,-0.5485981106758118,0.1227373480796814,0.0624640583992004,0.2749157547950744,0.3027519583702087,0.0438840985298156,0.3535439372062683,0.3509498238563537,-0.0748502612113952,0.4633217453956604,0.2796534895896911,0.334290087223053,-0.0054300427436828,0.0562300086021423,-0.0562300086021423,-0.0562300086021423,,,,,
EURCHF=X,51.54451847365233,49.00060569351908,53.72501514233797,50.93882495457298,49.66686856450636,73.41005451241672,74.62144155057541,69.95760145366444,68.01938219261054,68.62507571168989,47.91035735917626,51.60508782556027,49.84857662023016,49.48516050878256,50.45427013930951,51.78679588128408,48.63718958207147,51.72622652937614,51.78679588128408,50.09085402786189,51.12053301029679,51.181102362204726,51.05996365838885,52.02907328891581,48.75832828588735,50.99939430648092,50.45427013930951,51.60508782556027,48.81889763779528,52.02907328891581,,,,,,0.6921297311782837,0.0539499521255493,0.7117501497268677,0.5564700365066528,0.2386301755905151,2.71773099899292,2.775728702545166,2.5031700134277344,2.361289501190185,2.4043498039245605,-0.2051092386245727,-0.0469087362289428,-0.0900298357009887,-0.1196902990341186,0.4516299962997436,0.3029905557632446,0.0894898176193237,0.2535499334335327,0.2463895082473755,0.0997883081436157,0.2196105718612671,0.3208695650100708,0.3512305021286011,0.1398695707321167,0.0468500852584838,-0.0187500715255737,0.1100498437881469,0.1583696603775024,0.0187500715255737,0.2046889066696167,,,,,
EURGBP=X,62.05221615057681,58.773527625986645,64.48087431693989,53.43047965998786,58.46994535519126,65.93806921675774,63.87370977534912,75.10625379477838,80.26715239829994,64.29872495446266,53.12689738919247,51.73041894353369,51.97328476017,50.75895567698846,48.20886460230723,49.605343047966,50.45537340619308,50.09107468123861,51.062537947783845,53.066180935033394,52.09471766848816,53.49119611414693,52.64116575591985,49.90892531876138,52.27686703096539,49.605343047966,49.90892531876138,49.90892531876138,50.03035822707954,49.90892531876138,,,,,,2.4036903381347656,1.7447097301483154,2.553830623626709,0.8783303499221802,1.750530242919922,2.761669874191284,2.397329092025757,3.7222495079040527,3.965668439865112,2.7144904136657715,0.6232093572616577,0.3428905010223388,0.2807501554489136,0.2233500480651855,-0.2815300226211548,-0.1619302034378051,0.0823301076889038,0.1016098260879516,0.1511497497558593,0.7464698553085327,0.362709641456604,0.704010009765625,0.3222500085830688,0.1318299770355224,0.5142498016357422,-0.1929501295089721,0.1318299770355224,0.1318299770355224,0.0960896015167236,0.1318299770355224,,,,,
EURHUF=X,52.698605215282,62.94724075197089,61.6737416616131,59.79381443298969,66.52516676773801,67.07095209217707,68.16252274105518,64.038811400849,74.89387507580352,72.52880533656761,49.8483929654336,57.79260157671315,49.24196482716798,56.4584596725288,65.06973923590054,51.121892055791385,52.81989084293512,50.03032140691328,50.697392359005455,49.96967859308672,50.272892662219526,49.96967859308672,50.33353547604609,50.45482110369921,49.78775015160704,50.03032140691328,49.66646452395391,49.30260764099455,52.57731958762887,50.03032140691328,,,,,,263.4371032714844,516.854736328125,479.7186584472656,439.5544738769531,594.0689697265625,606.337158203125,623.1690673828125,518.7412109375,795.0092163085938,712.4912109375,-59.482818603515625,453.2993469238281,-20.962432861328125,369.6365051269531,680.6552734375,94.65292358398438,141.01303100585938,70.02096557617188,101.29489135742188,19.19515991210937,-37.254974365234375,47.512969970703125,65.61459350585938,95.66903686523438,-18.62704467773437,-47.512969970703125,37.145050048828125,35.414947509765625,92.16427612304688,-47.512969970703125,,,,,
EURJPY=X,59.5166163141994,59.09365558912387,54.92447129909366,60.12084592145015,58.18731117824774,60.2416918429003,63.38368580060423,63.80664652567975,63.26283987915408,75.40785498489426,50.63444108761329,48.6404833836858,49.90936555891239,57.94561933534743,57.764350453172206,50.33232628398792,51.3595166163142,52.62839879154079,55.2870090634441,54.25981873111783,50.33232628398792,50.09063444108761,50.33232628398792,52.567975830815705,50.69486404833837,50.69486404833837,49.546827794561935,49.78851963746224,50.33232628398792,50.33232628398792,,,,,,266.4984741210937,273.52001953125,162.16754150390625,285.9075927734375,256.78045654296875,315.86016845703125,375.7028198242188,392.7559509277344,376.1027221679688,571.9635009765625,-14.873916625976562,-77.70893859863281,-21.102035522460938,226.56544494628903,237.1685943603516,3.3179931640625,33.77958679199219,97.95147705078124,115.26841735839844,131.5060577392578,3.3179931640625,22.578872680664062,3.3179931640625,62.42103576660156,32.47605895996094,33.82598876953125,-3.3179931640625,-5.11199951171875,3.3179931640625,3.3179931640625,,,,,
EURMMK=X,52.25334957369062,52.67965895249696,56.09013398294762,60.718635809987816,51.58343483556638,69.54933008526187,60.53593179049939,64.92082825822169,60.96224116930572,70.95006090133982,57.36906211936662,52.07064555420219,54.8721071863581,53.47137637028014,54.56760048721072,55.84652862362972,50.548112058465286,52.74056029232644,50.85261875761267,50.548112058465286,50.36540803897685,53.65408038976858,50.73081607795371,47.99025578562728,51.76613885505481,50.548112058465286,50.548112058465286,47.07673568818514,50.548112058465286,50.548112058465286,,,,,,1740.1517333984375,1900.7115478515625,3830.974609375,5255.66015625,1305.4346923828125,7802.17822265625,5187.79541015625,6648.44921875,5380.0986328125,7897.72265625,4089.697021484375,1086.0023193359375,3210.11865234375,2791.064453125,3185.15771484375,3456.84033203125,818.6995849609375,2020.2371826171875,589.1839599609375,818.6995849609375,618.8321533203125,2415.13427734375,1008.8018798828124,-228.6046142578125,1550.3975830078125,818.6995849609375,818.6995849609375,-818.6995849609375,818.6995849609375,818.6995849609375,,,,,
EURSEK=X,66.78809957498481,51.73041894353369,50.63752276867031,56.22343655130541,66.24165148755313,74.68123861566485,71.88828172434731,59.98785670916818,62.53794778384943,71.03825136612022,51.60898603521554,49.48391013964785,51.062537947783845,51.00182149362477,55.79842137219187,50.51608986035215,50.51608986035215,52.94474802671524,52.15543412264724,52.27686703096539,49.42319368548877,51.91256830601093,50.57680631451124,50.09107468123861,50.63752276867031,50.51608986035215,51.66970248937462,50.51608986035215,50.51608986035215,49.48391013964785,,,,,,22.667150497436523,4.520053863525391,1.6547393798828125,11.508750915527344,23.00863265991211,28.23107147216797,27.74717330932617,14.649211883544922,16.890357971191406,27.0124454498291,3.792301177978516,0.0140953063964843,0.6714649200439453,1.0683441162109375,8.682807922363281,0.9029006958007812,0.9029006958007812,3.8630237579345694,2.532367706298828,3.115558624267578,0.2168560028076172,3.802236557006836,1.1000614166259766,-0.1368370056152343,0.8338985443115234,0.9029006958007812,2.20132064819336,0.9029006958007812,0.9029006958007812,-0.9029006958007812,,,,,
