Ticker_Symbol,xgbrfregressor_1,xgbrfregressor_2,xgbrfregressor_3,xgbrfregressor_4,xgbrfregressor_5,xgbregressor_gbtree_1,xgbregressor_gbtree_2,xgbregressor_gbtree_3,xgbregressor_gbtree_4,xgbregressor_gbtree_5,grnn_regression_1,grnn_regression_2,grnn_regression_3,grnn_regression_4,grnn_regression_5,conv1d_regression_1,conv1d_regression_2,conv1d_regression_3,conv1d_regression_4,conv1d_regression_5,lstm_regression_1,lstm_regression_2,lstm_regression_3,lstm_regression_4,lstm_regression_5,conv1d_lstm_regression_1,conv1d_lstm_regression_2,conv1d_lstm_regression_3,conv1d_lstm_regression_4,conv1d_lstm_regression_5,transformer_regression_1,transformer_regression_2,transformer_regression_3,transformer_regression_4,transformer_regression_5,xgbrfclassifier_1,xgbrfclassifier_2,xgbrfclassifier_3,xgbrfclassifier_4,xgbrfclassifier_5,xgbclassifier_gbtree_1,xgbclassifier_gbtree_2,xgbclassifier_gbtree_3,xgbclassifier_gbtree_4,xgbclassifier_gbtree_5,grnn_classification_1,grnn_classification_2,grnn_classification_3,grnn_classification_4,grnn_classification_5,conv1d_classification_1,conv1d_classification_2,conv1d_classification_3,conv1d_classification_4,conv1d_classification_5,lstm_classification_1,lstm_classification_2,lstm_classification_3,lstm_classification_4,lstm_classification_5,conv1d_lstm_classification_1,conv1d_lstm_classification_2,conv1d_lstm_classification_3,conv1d_lstm_classification_4,conv1d_lstm_classification_5,transformer_classification_1,transformer_classification_2,transformer_classification_3,transformer_classification_4,transformer_classification_5
EURMMK=X,50.15670184257143,50.143075595391295,50.129449348211175,50.115823101031054,50.115823101031054,50.40197429181366,50.38834804463352,50.238459325652165,50.224833078472045,50.18395433693167,72.03619942298302,63.23529411764706,61.274513244628906,59.9264705882353,58.45588235294117,64.0625,64.05228996276855,60.86660575866699,54.0283260345459,53.32781028747559,68.86520767211914,61.15627797444662,58.90960947672526,55.99723815917969,55.55900764465332,63.09855842590332,56.74937057495117,56.535949071248375,56.14914131164551,55.187538146972656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EURSEK=X,49.98258868415873,49.97804660176536,49.97047646444307,49.96442035458523,49.96290632712078,50.07948644188406,50.03255159048585,50.02195339823464,50.01741131584127,50.0052990961256,77.17181396484375,74.9582290649414,69.71326217651367,65.3658971786499,58.82353005042443,61.08124415079752,56.15299415588379,55.63529396057129,53.6821715037028,52.94117736816406,67.65553092956543,62.27050018310547,59.17508316040039,56.02739906311035,55.764930725097656,66.92708333333333,54.31224060058594,53.650917053222656,52.44552001953125,52.19292831420898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EURSGD=X,50.57911550515526,50.57457342276189,50.57457342276189,50.57457342276189,50.56548925797514,50.27025390240579,50.24300140804554,50.238459325652165,50.238459325652165,50.20666474889855,83.0,82.46753387451172,81.4814821879069,80.85299573625836,79.56253433227539,57.65654754638672,57.32999038696289,56.82539749145508,56.61764744349888,56.167179107666016,63.25203323364258,61.11904144287109,60.65133857727051,57.41304969787598,56.76002883911133,58.52083396911621,55.89114952087402,55.869361877441406,55.49069404602051,53.683610916137695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GBPJPY=X,49.73126012505867,49.72368998773638,49.71611985041409,49.71611985041409,49.69340943844721,50.09462671652864,50.08705657920635,50.07191630456177,50.07191630456177,50.003785068661145,72.80011558532715,63.30578486124674,61.46520262498122,59.55882453918457,58.02154159545898,57.92114715576172,57.72058916091919,57.16911864280701,55.86864471435547,55.37036895751953,63.07189750671387,61.31274223327637,59.12698300679525,57.09183665684292,55.361981528145925,53.1876335144043,53.13790512084961,52.95262336730957,52.55916213989258,52.55419158935547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GBPSGD=X,52.14007782101168,52.14007782101168,52.14007782101168,52.14007782101168,52.14007782101168,50.77442504807037,50.7411164438523,50.69115353752517,50.69115353752517,50.69115353752517,61.16169509887696,59.47712516784668,58.59564336140951,56.45833396911621,54.82993262154715,59.81551513671875,59.36015319824219,57.96693229675293,57.95339584350586,57.35294117647059,67.87234115600586,58.92570686340332,58.7121213277181,57.78677444458008,57.43642997741699,69.3121706644694,68.24146906534831,58.1931037902832,57.33193370274135,57.02657699584961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GBPUSD=X,50.58365758754864,50.58365758754864,50.58365758754864,50.58365758754864,50.57911550515526,50.193038501718426,50.17032808975155,50.15215976017805,50.115823101031054,50.11128101863768,69.07142791748046,66.14583333333333,62.710083552769255,61.91180038452149,61.81370162963867,63.89225196838379,63.82653045654297,60.06725565592448,60.03344345092773,57.88690757751465,59.51510810852051,58.34124946594238,57.40054130554199,56.45569610595703,56.048388163248696,74.609375,66.76608085632324,58.44936752319336,57.91424878438314,57.56357383728027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GHS=X,50.97276264591439,50.97276264591439,50.97276264591439,50.97276264591439,50.97276264591439,50.97276264591439,50.97276264591439,50.97276264591439,50.97276264591439,50.97276264591439,67.44791666666667,58.983665466308594,58.52941186087472,57.80392303466797,57.427938733782085,62.73247718811035,61.508907318115234,61.26262664794922,59.751277923583984,58.8235294117647,67.72486750284831,61.56462696620396,60.680274963378906,59.820709228515625,56.82539901733399,60.63360977172852,59.788360595703125,55.31736246744792,54.01386451721192,53.055965423583984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HKD=X,51.08328665081985,51.06966040363973,51.0560341564596,51.04240790927948,51.02878166209936,51.24680161698133,51.15141788672047,51.04240790927948,51.04240790927948,51.01515541491922,71.61458333333333,65.3635991414388,65.1428591410319,60.86397075653076,56.58705711364746,74.0234375,62.59306526184082,61.82219696044922,61.743342590332034,61.58163261413574,69.8732738494873,61.01903533935547,59.77092742919922,56.27378082275391,54.32521438598633,59.332868576049805,59.332868576049805,56.788567860921226,56.67615509033203,54.718692779541016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDR=X,52.9182879377432,52.9182879377432,52.9182879377432,52.9182879377432,52.85015670184258,52.62305258217385,52.55492134627322,52.37323805053824,52.32781722660449,52.07800269496888,71.18226569039481,60.82291507720947,58.78482866287232,54.730160522460935,53.34249114990234,62.5396842956543,56.25,55.62091530693902,54.84432220458984,54.540645599365234,76.9230785369873,70.87570571899414,58.56573486328125,56.73246765136719,56.25000095367432,63.214284896850586,61.71428680419922,57.39108085632324,55.76923179626465,55.31639099121094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDRMYR=X,59.53307392996109,59.53307392996109,59.53307392996109,59.53307392996109,59.53307392996109,59.53307392996109,59.53307392996109,59.53307392996109,59.53307392996109,59.53307392996109,63.74246883392334,62.23776388168335,61.11111111111112,61.0526316506522,59.93311080932617,74.21875,64.2731704711914,63.23529411764706,62.58722559611002,61.3018913269043,65.89285714285714,65.88709716796875,64.68039131164551,64.46864128112793,63.73512268066406,66.01307423909505,65.6115894317627,63.20621871948242,61.96769714355469,61.60230350494385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDRSGD=X,58.85933170827718,58.85933170827718,58.85933170827718,58.85933170827718,58.85933170827718,58.93049099910672,58.85933170827718,58.85933170827718,58.85933170827718,58.85933170827718,69.70588302612305,62.39787610371908,61.39705882352941,59.74998474121094,59.510728200276695,63.41994094848633,61.2529296875,61.182085037231445,60.97756576538086,60.78985595703125,61.93181991577149,61.39649963378906,60.817190170288086,60.37415059407552,59.77929878234863,62.778886795043945,62.21035957336426,61.715932846069336,61.53601837158203,61.496089935302734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INR=X,49.92808369543823,49.84178412996412,49.66918499901588,49.49658586806764,49.41028630259353,51.13627761207589,50.44588108828294,50.04314978273706,49.84178412996412,49.640418477191176,74.08088366190593,74.04612274169922,70.91426181793213,67.38966064453125,65.79150676727295,76.66666793823242,66.3157901763916,59.159780502319336,56.99405097961426,56.662848154703774,67.87634086608887,57.98077040452223,55.30883979797363,55.2633228302002,54.20317459106445,67.12860298156738,56.636047908238005,56.23809687296549,55.844594955444336,55.39235877990723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IQD=X,62.93357961513421,62.93357961513421,62.93357961513421,62.93357961513421,62.93357961513421,63.03501945525292,63.03501945525292,63.03501945525292,62.93357961513421,62.93357961513421,75.4901974995931,72.84158652169364,72.42647058823529,72.10592651367188,70.50193078177315,66.86507987976074,66.73218536376953,66.61057662963867,65.35771942138672,65.15302658081055,72.79352188110352,67.04026412963867,65.3636360168457,62.05533599853516,60.01366424560547,67.40289497375488,66.37872982025146,65.75101661682129,65.62310791015625,65.3667984008789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRR=X,82.97872340425532,82.97872340425532,82.97872340425532,82.97872340425532,82.97872340425532,82.97872340425532,82.97872340425532,82.97872340425532,82.97872340425532,82.51094009355666,86.99404716491699,81.01010131835938,79.68254089355469,74.12008285522461,67.7740847269694,86.52481842041016,85.81560516357422,84.39716339111328,82.97872924804688,82.97872924804688,92.9104461669922,86.23188018798828,85.71428680419922,85.23809432983398,84.78260803222656,84.39716339111328,83.99346923828125,83.68794250488281,83.68794250488281,82.97872924804688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JPY=X,48.55334675771019,48.55334675771019,48.52155218095656,48.52155218095656,48.36257929718845,50.17487017214493,49.8569244046087,49.8569244046087,49.79333525110145,49.60256779057972,78.10457611083984,70.21008355276925,61.875,57.67554397583008,57.01525264316135,70.57291666666667,60.32424354553223,60.09827931722005,57.58236312866211,57.35360336303711,57.25274848937988,57.14733505249024,55.22648075648716,54.47257614135742,54.11111259460449,59.27673149108887,58.25396862030029,57.78742980957031,57.326073455810544,57.02614466349284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KES=X,49.82967191024845,49.80696149828157,49.78879316870808,49.77516692152796,49.766082756741206,50.09765477145756,50.07494435949068,50.0704022770973,50.06586019470394,50.05677602991718,63.321386125352646,63.289762285020615,62.77777814865112,62.58923263549805,60.89743900299072,79.80000114440918,78.65612411499023,60.60416793823242,59.68750190734863,59.09665985107422,77.71084213256836,61.45833587646485,61.28093528747559,59.2261905670166,58.57143211364746,66.61805534362793,59.68778737386068,58.72439738682338,57.830190658569336,57.67549514770508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHR=X,57.08640554739664,57.08640554739664,57.08640554739664,57.03038653121168,57.03038653121168,57.08640554739664,57.08640554739664,57.08640554739664,57.08640554739664,57.08640554739664,76.48593521118164,74.61608123779297,73.80514717102051,67.71390360051936,67.13102340698242,68.1539815266927,66.5332899093628,65.17974090576172,64.0534184773763,62.84011713663737,79.92126083374023,64.29487228393555,62.20238304138184,61.97829055786133,59.851418813069664,68.34285736083984,65.42174911499023,64.02882385253906,63.38472557067871,62.44260915120443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KRW=X,49.95533618979848,49.94928007994065,49.9477660524762,49.94473799754728,49.94322397008282,50.002271041196686,49.999242986267774,49.996214931338855,49.9947009038744,49.993186876409936,84.66165542602539,84.11978258405414,82.33695729573567,74.63235294117646,73.26388888888889,66.76626586914062,62.19879531860352,56.12403297424317,55.79365348815918,55.2540225982666,60.17837397257487,60.063337326049805,55.04520225524902,54.13372802734375,53.17596626281738,75.390625,75.0,65.3968276977539,60.19988441467285,55.25594902038574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MMK=X,48.40497206619328,48.14455934230647,48.01435298036306,47.94924979939136,47.884146618419656,49.57682932368393,49.44662296174053,49.381519780768826,49.31641659979712,49.186210237853714,68.40858554840088,67.06493585759944,66.28762474060059,65.73232301076253,63.99840799967448,64.04411697387695,62.74953079223633,62.46719551086426,61.46074867248535,59.88282203674317,63.14554405212402,62.96897506713867,62.86276245117188,60.67251586914063,60.33755397796631,65.23913097381592,62.99152755737305,61.27362632751465,60.26735305786133,59.55422592163086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MXN=X,50.19455252918288,50.19455252918288,50.1900104467895,50.17941225453831,50.15215976017805,50.19455252918288,50.19152447425397,50.19152447425397,50.18092628200276,50.17638419960938,59.95989435369318,58.98989963531494,58.45588235294117,57.59856643676758,57.39164209365845,59.49540138244629,58.92826334635416,57.87719345092773,57.3065071105957,57.26950263977051,57.53246815999349,57.204416275024414,56.38644536336263,56.05769443511963,55.00248908996582,61.25,59.218711853027344,53.32773971557617,53.09189478556315,51.190478006998696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYR=X,46.50940968069161,46.377689291283744,46.377689291283744,46.24596890187588,46.24596890187588,49.01209707944102,48.83646989356387,48.61693591121743,48.30958833593241,48.09005435358598,62.1875,56.29829788208008,54.48979786464146,54.27490615844727,54.17279624938965,67.32793426513672,61.97982533772787,60.34226608276367,59.42652435302735,58.37301635742188,62.90915489196777,58.08823585510254,57.57877540588379,56.8452377319336,56.19423802693685,78.4313735961914,60.82779057820638,60.58655548095703,59.83537483215332,57.99392127990723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYRPKR=X,59.76470588235294,59.76470588235294,59.76470588235294,59.68627450980392,59.68627450980392,59.68627450980392,59.68627450980392,59.68627450980392,59.68627450980392,59.6078431372549,70.9706958770752,69.1125545501709,69.00709088643391,68.9505241394043,68.72727307406339,71.16893196105957,68.64699363708496,68.46468925476074,67.6974868774414,67.57852935791016,64.04407119750977,63.91495895385742,62.09171295166016,59.21052932739258,58.42588806152344,80.87649345397949,80.51181221008301,71.41349983215332,69.9579849243164,64.76959800720215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPR=X,49.9583642447274,49.92505564050932,49.92505564050932,49.92505564050932,49.72520401520084,50.24148738058109,50.24148738058109,50.19152447425397,50.15821587003588,50.14156156792684,66.66666666666667,58.61458492279053,55.31512723650251,55.30303039550781,55.18575859069824,72.17847696940105,62.68496068318685,59.83745193481445,59.61431757609049,56.72800254821777,64.58333396911621,59.56284332275391,56.39344278971354,56.23100471496582,55.83741251627604,64.71518898010254,60.84489440917969,60.69586054484049,57.6447868347168,57.46292686462402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NZDSGD=X,51.06511832124635,50.81076170721737,50.78956532271496,50.66238701570046,50.47161955517873,50.45042317067632,50.376235824917856,50.30204847915941,50.22786113340096,50.20666474889855,73.13131300608318,73.02675590515136,71.32352941176471,70.08547465006511,69.8529411764706,74.21875,58.61250305175781,56.56120491027832,53.85872268676758,53.699635138878456,70.37037150065105,59.21052605765207,55.641544342041016,55.55555852254232,54.97998809814453,58.92388725280762,55.34638595581055,55.18761444091797,54.56896781921387,53.97546577453613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NZDUSD=X,51.31947493527532,51.255885781768086,51.255885781768086,51.192296628260834,50.853154476222194,50.249057517903374,50.09008463413527,50.05829005738164,50.04769186513043,50.02649548062802,73.76245032416449,70.95022729726938,69.97086524963379,68.01470588235294,64.30476252237956,64.57509994506836,60.07869338989258,56.19047927856445,55.91424789428711,55.38697624206543,77.25490379333496,59.82746696472168,57.63888804117838,57.55208396911621,56.24834632873535,59.53436851501465,58.21135711669922,58.18096160888672,55.13513510567801,54.74464225769043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PGK=X,49.8569244046087,49.84329815742858,49.8024194158882,49.58439946100622,49.55714696664597,50.37472179745341,50.33384305591303,50.18395433693167,50.17032808975155,50.15670184257143,73.4375,70.31746037801106,66.92225138346355,66.24060085841587,64.5951042175293,67.419677734375,61.78431396484375,61.31034469604492,61.155202865600586,60.45358276367188,61.11111195882162,60.3703722635905,58.05555534362793,57.45887756347656,55.41407903035482,62.521026611328125,62.29886436462402,54.89687347412109,54.28870391845703,54.09562301635742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHP=X,52.14007782101168,52.14007782101168,52.14007782101168,52.14007782101168,52.14007782101168,52.14007782101168,51.5738315493043,51.29070841345062,51.19078260079638,51.19078260079638,63.78676581382752,62.5,59.9259282430013,59.41176509857178,55.54970677693685,62.93522262573242,56.57471466064453,54.962964121500654,54.5497080485026,54.445374488830566,61.49038887023926,59.83392333984375,59.22619152069092,58.21172523498535,56.36230278015137,55.46527862548828,55.29013442993164,54.58866310119629,54.57113456726074,54.06608200073242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PKR=X,53.69649805447471,53.69649805447471,53.69649805447471,53.69649805447471,53.69649805447471,50.73354630653,50.73354630653,50.73354630653,50.73354630653,50.73354630653,72.05882549285889,72.0043585035536,70.90909118652344,66.40211639404296,59.96376736958822,71.22320175170898,67.02826690673828,66.99600791931152,65.38583183288574,61.85618858337402,78.68526077270508,78.20000076293945,73.79032135009766,63.51495679219564,61.66365432739258,67.22689056396484,66.85897572835286,66.56565634409587,62.59396743774414,54.153825759887695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAR=X,53.38006631440294,53.38006631440294,53.17870066163001,53.17870066163001,51.999273266817056,53.6389650108253,52.91980196520765,52.91980196520765,52.91980196520765,52.91980196520765,64.7916669845581,64.1184937613351,63.609021595546174,60.50751495361328,58.232323010762535,63.90920639038086,63.282575607299805,61.80584208170573,61.10859107971192,59.30644416809082,66.97393798828125,66.62216186523438,62.16216468811035,56.63461685180664,55.369625091552734,73.046875,64.67350769042969,64.49735514322917,64.0625,61.86170196533203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SGD=X,50.13247740314009,50.09462671652864,50.0492058925949,50.003785068661145,49.988644794016565,50.003785068661145,50.003785068661145,49.98107465669428,49.97350451937198,49.9583642447274,80.71428604125977,78.9542473687066,75.0915779700646,74.26470588235294,72.37373797098796,76.66666793823242,66.11234283447266,60.49868965148926,58.02198219299317,55.97414970397949,59.52381079537528,56.7424259185791,56.46104049682617,55.67901420593262,55.445669174194336,60.10498809814453,55.23716926574707,54.78723335266113,54.59025573730469,54.289833068847656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SGDCNY=X,54.474708171206224,54.40506290784115,54.40506290784115,54.37024027615861,53.74343290587292,54.05683659101575,51.09691289799997,50.81833184453966,50.47010552771427,49.66918499901588,71.26361677381728,71.21428604125977,69.4444450378418,65.14285659790039,60.366303370549126,61.86948585510254,58.57411003112793,56.40325546264648,56.12507629394531,55.200072288513184,70.26666641235352,63.57758712768555,56.328046798706055,54.88888931274414,54.13551330566406,77.1484375,62.125505447387695,61.76075553894043,60.49868965148926,59.09758758544922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SGDHKD=X,49.95230813486957,49.93868188768944,49.93413980529607,49.92959772290269,49.92959772290269,50.02952353555693,49.997728958803314,49.993186876409936,49.993186876409936,49.9841027116232,79.26829147338867,78.37153434753418,76.40164729527065,76.38655526297433,69.97666549682617,69.24283409118652,60.718789418538414,59.47712516784668,57.07142944335938,55.594407081604,75.88235473632812,75.20161247253418,67.95827293395996,55.71428451538086,54.45241928100586,67.1646728515625,66.96546745300293,61.72064971923828,61.3206729888916,59.86676597595215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SGDIDR=X,51.17119999999999,50.345600000000005,50.31679999999999,50.3072,50.24,51.180800000000005,51.180800000000005,51.180800000000005,51.180800000000005,51.180800000000005,61.3888905843099,60.8888905843099,59.022555759974885,58.2312920888265,56.45933074951172,54.59292221069336,53.93909200032552,53.75607490539551,53.635817527771,53.54997762044271,61.79153823852539,58.65384769439697,55.34941291809082,54.93827311197917,54.62773132324219,64.49757766723633,57.12676811218262,55.437124252319336,54.673824310302734,53.46938705444336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
