Date,Open,High,Low,Close,DAILY_CLOSEPRICE_CHANGE,Scaled_DAILY_CLOSEPRICE_CHANGE,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,RF_1_Predicted_Close_Price_Change,RF_2_Predicted_Close_Price_Change,RF_3_Predicted_Close_Price_Change,RF_4_Predicted_Close_Price_Change,RF_5_Predicted_Close_Price_Change,GBT_1_Predicted_Close_Price_Change,GBT_2_Predicted_Close_Price_Change,GBT_3_Predicted_Close_Price_Change,GBT_4_Predicted_Close_Price_Change,GBT_5_Predicted_Close_Price_Change,GRNN_1_Predicted_Close_Price_Change,GRNN_2_Predicted_Close_Price_Change,GRNN_3_Predicted_Close_Price_Change,GRNN_4_Predicted_Close_Price_Change,GRNN_5_Predicted_Close_Price_Change,CNN_1_Predicted_Close_Price_Change,CNN_2_Predicted_Close_Price_Change,CNN_3_Predicted_Close_Price_Change,CNN_4_Predicted_Close_Price_Change,CNN_5_Predicted_Close_Price_Change,LSTM_1_Predicted_Close_Price_Change,LSTM_2_Predicted_Close_Price_Change,LSTM_3_Predicted_Close_Price_Change,LSTM_4_Predicted_Close_Price_Change,LSTM_5_Predicted_Close_Price_Change,CNN_LSTM_1_Predicted_Close_Price_Change,CNN_LSTM_2_Predicted_Close_Price_Change,CNN_LSTM_3_Predicted_Close_Price_Change,CNN_LSTM_4_Predicted_Close_Price_Change,CNN_LSTM_5_Predicted_Close_Price_Change
2016-08-26,581.0399780273438,581.0399780273438,580.0,581.3400268554688,4.72998046875,0.2545915865029333,1.1796355162472416,0.6882761364848521,-3.384945032099471,0.0281970712127595,-1.698232984386168,0.340391231618098,0.1630938358906456,0.1584926384605351,0.1114841794566375,1.113499183627933,-0.8802927938765703,-0.7632401098167035,-0.2279046868724568,-0.31674135,-0.20732173,-0.152681,-0.2134281,-0.25095668,-0.58738405,-0.6035167,-0.212877,-0.45516866,-0.46676147,-49.304943,-8.255529,-0.5709975,18.74402,-32.45937,0.7998019,-1.880933,-1.6991264,-0.43044302,-1.576613,-3.73409,-0.23868902,-2.3094265,0.37442973,2.2020135,-0.612847,0.5264359,-4.959436,-0.2758637,-2.7434459
2016-08-29,585.8200073242188,586.7000122070312,585.8200073242188,586.0700073242188,0.1199951171875,0.0076216887638314,1.1739470972185635,0.9612418412203726,-2.4588921201880964,0.9476595184922758,-1.6124964865615856,-0.5452905075423755,1.1051481260834477,0.3050453104742002,-0.7057512681881971,0.4161369540397419,-0.5213648388250713,-1.0361424115495013,-0.5224210110410555,-0.31674135,-0.20732173,-0.152681,-0.2134281,-0.25095668,-0.58738405,-0.6035167,-0.212877,-0.45516866,-0.46676147,-54.66749,12.694888,-3.7405796,3.16859,-15.982095,1.0669242,-1.8679247,-1.9169374,-0.06396897,-2.1828117,-3.652721,-0.28465492,-1.7772876,0.49353716,1.573429,-0.6418625,0.57805663,-4.923383,-0.17146954,-3.0220902
2016-08-30,586.219970703125,587.489990234375,586.219970703125,586.1900024414062,2.219970703125,0.1201232947695449,0.870505580476832,1.0666312010950698,-1.8638006428109408,1.3649761969922098,-1.6782966781304698,-0.914153875170438,1.314926290704154,0.2825614502172942,-0.5612667047451267,0.2894312877764938,-0.5151878509400282,-1.0527721848110707,-0.2716056575814908,-0.18157908,-0.1376382,-0.123939484,-0.15408084,-0.1466566,-0.58738405,-0.6035167,-0.16648799,-0.08279077,-0.46676147,-54.62469,20.860687,-3.1271703,-1.2650278,-12.597419,1.438021,-1.908946,-1.2912216,0.10579333,-2.3366675,-3.6379578,-0.33037165,-0.9819059,0.61234766,1.7435263,-0.6463404,0.6060102,-4.8982835,-0.1416215,-3.1013052
2016-08-31,588.9400024414062,588.9400024414062,588.9400024414062,588.4099731445312,-0.41998291015625,-0.0213064548254421,0.8738265228725783,1.27601365153367,-1.1762511831735851,1.7624743215857812,-1.662192160085716,-1.1030176224661885,1.5963364144933845,0.1480386674191563,-0.516671564841989,-0.0648167369217169,-0.6136439397094049,-1.2600509962388722,-0.2911525110407407,-0.18157908,-0.1376382,-0.123939484,-0.16318035,-0.1466566,-0.58738405,-0.6035167,-0.16648799,-0.08279077,-0.46676147,-55.679184,29.732164,-2.573931,-6.0101795,-1.1782418,1.6641817,-1.9731171,-0.98269236,-0.010786278,-2.2957873,-3.6809218,-0.3828808,0.2669815,0.7210047,1.9647418,-0.68761796,0.58473873,-4.8772345,-0.19422911,-3.292138
2016-09-01,587.9500122070312,588.3300170898438,587.9500122070312,587.989990234375,-2.17999267578125,-0.1155951344389035,1.0084915563170225,1.472318720385007,-0.5202334224353841,1.88408811227599,-1.460362569733631,-1.4608650603427804,1.599235715824307,0.0965546282707078,-0.2443872931415184,-0.3669284506062554,-0.3094174061939887,-1.2469508767936712,0.0165531971301533,-0.31674135,-0.20732173,-0.152681,-0.2134281,-0.25095668,-0.58738405,-0.6035167,-0.212877,-0.45516866,-0.46676147,-52.591263,35.531204,-2.4004478,-9.498077,2.0315058,1.8552334,-1.9746352,-0.59319174,0.049344756,-1.454559,-3.7985148,-0.42174917,1.729206,0.8101785,2.4188435,-0.7125749,0.56699216,-4.840013,-0.21862365,-3.3670044
2016-09-02,585.8099975585938,586.280029296875,585.8099975585938,585.8099975585938,2.17999267578125,0.1179815592602226,0.9043111572110788,1.4881773378084249,-0.2260705814464272,1.8279325516484743,-1.388483264754779,-1.2468414153592846,1.2469904354296024,0.0172927100293528,0.1461949023676104,-0.4774125638368031,-0.2866673209378307,-1.215569344203226,0.1282812543894597,-0.31674135,-0.20732173,-0.1487959,-0.2134281,-0.25095668,-0.58738405,-0.6035167,-0.212877,-0.45516866,-0.46676147,-49.00555,36.259357,-2.2651625,-10.213944,4.1962624,1.9833232,-1.8754836,-0.07286317,0.29412374,-0.8892018,-3.926891,-0.4577017,1.7494386,0.8791427,2.5667675,-0.68404794,0.61679345,-4.831164,-0.1907965,-3.226406
2016-09-05,587.7899780273438,587.7999877929688,580.0,587.989990234375,0.3900146484375,0.0220873954710707,0.9209332288563272,1.581418759522376,0.129434857870331,1.7125091688890282,-1.1061873677703262,-1.172605069435253,0.9889806780440888,-0.2715577926374179,0.4001699179752933,-0.8221726134581497,0.0075092595883915,-1.318302899770371,0.2960541042385748,-0.31674135,-0.20732173,-0.1487959,-0.2134281,-0.25095668,-0.58738405,-0.6035167,-0.212877,-0.45516866,-0.46676147,-40.454082,35.957405,-1.9679091,-10.39211,7.622925,2.036742,-1.9027407,0.33720723,0.4604468,0.04218497,-4.0782046,-0.47649917,0.9528203,0.9296097,2.8871155,-0.68839663,0.6263799,-4.81904,-0.18474233,-3.2204201
2016-09-06,588.2899780273438,588.2899780273438,582.0,588.3800048828125,-5.30999755859375,-0.2832783106054152,0.924337805991236,1.7510487599728346,0.4993106343098085,1.7297775321485789,-0.9435076042833298,-1.1600428708881794,0.8892490447154059,-0.391499905163424,0.4392870590289969,-0.9399580264797808,0.0461819771252845,-1.1409798456520388,0.2852605078572424,-0.31674135,-0.20732173,-0.1487959,-0.2134281,-0.25095668,-0.58738405,-0.6035167,-0.212877,-0.45516866,-0.46676147,-35.434124,35.20787,-1.6799816,-10.2372265,8.725826,2.1199844,-1.883185,0.43196288,0.57508886,0.7054351,-4.1904383,-0.49357486,0.15855394,0.9606878,2.8676345,-0.7122773,0.53683996,-4.8000264,-0.21066153,-3.300609
2016-09-07,583.22998046875,583.25,580.0,583.0700073242188,0.5899658203125,0.0327993428428872,0.8563513541340011,1.596544557871723,0.2642809101256151,0.9930505995120098,-0.6151528937890809,-0.6692341016131867,0.3280637495095233,-0.736711022284962,0.8576764574673353,-1.1016021406038956,0.2822219236838106,-1.034677313924858,0.4636927908858014,-0.14716709,-0.10551838,-0.10699586,-0.119967826,-0.109714635,-0.58738405,-0.6035167,-0.11685633,-0.08279077,-0.02819201,-26.375319,22.607454,-0.66265166,-4.8192124,9.772729,2.2877657,-1.7004889,0.85483587,0.7641211,0.8275759,-4.2716827,-0.46017015,-0.805938,0.9785788,3.481706,-0.6438232,0.6757339,-4.822608,-0.14879966,-2.990328
2016-09-08,583.5700073242188,583.5700073242188,580.0,583.6599731445312,-1.38995361328125,-0.0732705169844492,0.9284080904574754,1.6168709312587657,0.1728517749688793,0.5275719591378273,-0.3977763141221393,-0.2869986523674065,0.1614175925049718,-1.1996186594600386,0.7350995810130726,-1.280101739573838,0.4140596151586106,-0.8291361683161035,0.4576112162820826,-0.31674135,-0.20732173,-0.1487959,-0.2134281,-0.25095668,-0.58738405,-0.6035167,-0.212877,-0.45516866,-0.46676147,-17.504972,10.480725,-0.13252419,0.27965045,11.678186,2.4115002,-1.6437167,0.8781908,0.728253,0.6982795,-4.29522,-0.50339323,-0.77570516,0.97153175,4.3192167,-0.6233487,0.67084146,-4.8323793,-0.13935766,-2.8972113
